# -------------------------------------------------------
# Code       ; L0123003
# Name       ; Flashy River at Bubry Creek
# Area (km2) ; 920
# Units      ; YYYYMMDDHH ; l/s ; mm/h ; mm/h ; degC ; mm/h
# -------------------------------------------------------
      Date;       Q;     Qmm;    Ptot;    Temp;      PE
2004010409;  408972;  1.6003;  2.8700; -9.9900;  0.0400
2004010410;  403306;  1.5782;  2.4400; -9.9900;  0.0500
2004010411;  394340;  1.5431;  1.8200; -9.9900;  0.0600
2004010412;  380848;  1.4903;  1.1600; -9.9900;  0.0600
2004010413;  367329;  1.4374;  0.9400; -9.9900;  0.0600
2004010414;  353810;  1.3845;  0.6900; -9.9900;  0.0600
2004010415;  340291;  1.3316;  0.9300; -9.9900;  0.0500
2004010416;  326772;  1.2787;  0.7200; -9.9900;  0.0400
2004010417;  313142;  1.2253;  0.6300; -9.9900;  0.0300
2004010418;  298059;  1.1663;  0.7800; -9.9900;  0.0200
2004010419;  282916;  1.1071;  1.0100; -9.9900;  0.0000
2004010420;  268304;  1.0499;  0.9900; -9.9900;  0.0000
2004010421;  256920;  1.0053;  0.4100; -9.9900;  0.0000
2004010422;  248760;  0.9734;  0.3100; -9.9900;  0.0000
2004010423;  239827;  0.9385;  0.2000; -9.9900;  0.0000
2004010500;  229696;  0.8988;  0.1300; -9.9900;  0.0000
2004010501;  218379;  0.8545;  0.0100; -9.9900;  0.0000
2004010502;  206793;  0.8092;  0.0000; -9.9900;  0.0000
2004010503;  197644;  0.7734;  0.1500; -9.9900;  0.0000
2004010504;  190932;  0.7471;  0.1800; -9.9900;  0.0000
2004010505;  184220;  0.7209;  0.1000; -9.9900;  0.0000
2004010506;  177508;  0.6946;  0.2600; -9.9900;  0.0000
2004010507;  170799;  0.6683;  0.2400; -9.9900;  0.0200
2004010508;  164419;  0.6434;  0.2100; -9.9900;  0.0300
2004010509;  158279;  0.6194;  0.3200; -9.9900;  0.0400
2004010510;  152140;  0.5953;  0.4400; -9.9900;  0.0500
2004010511;  146251;  0.5723;  0.3400; -9.9900;  0.0600
2004010512;  141867;  0.5551;  0.2000; -9.9900;  0.0600
2004010513;  137733;  0.5390;  0.2400; -9.9900;  0.0600
2004010514;  133600;  0.5228;  0.1900; -9.9900;  0.0600
2004010515;  129467;  0.5066;  0.1900; -9.9900;  0.0500
2004010516;  125333;  0.4904;  0.6300; -9.9900;  0.0400
2004010517;  121200;  0.4743;  0.8700; -9.9900;  0.0300
2004010518;  117067;  0.4581;  0.9600; -9.9900;  0.0200
2004010519;  114766;  0.4491;  0.9200; -9.9900;  0.0000
2004010520;  114299;  0.4473;  1.5100; -9.9900;  0.0000
2004010521;  113831;  0.4454;  1.2700; -9.9900;  0.0000
2004010522;  113364;  0.4436;  1.3200; -9.9900;  0.0000
2004010523;  112896;  0.4418;  1.4300; -9.9900;  0.0000
2004010600;  112428;  0.4399;  0.8000; -9.9900;  0.0000
2004010601;  112597;  0.4406;  0.5400; -9.9900;  0.0000
2004010602;  115546;  0.4521;  0.2200; -9.9900;  0.0000
2004010603;  118398;  0.4633;  0.0300; -9.9900;  0.0000
2004010604;  120222;  0.4704;  0.0300; -9.9900;  0.0000
2004010605;  121516;  0.4755;  0.0000; -9.9900;  0.0000
2004010606;  119903;  0.4692;  0.1100; -9.9900;  0.0000
2004010607;  117806;  0.4610;  0.0500; -9.9900;  0.0200
2004010608;  115709;  0.4528;  0.0000; -9.9900;  0.0400
2004010609;  113612;  0.4446;  0.1800; -9.9900;  0.0600
2004010610;  111515;  0.4364;  0.4700; -9.9900;  0.0700
2004010611;  109417;  0.4282;  0.1700; -9.9900;  0.0800
2004010612;  107320;  0.4199;  0.2200; -9.9900;  0.0800
2004010613;  105223;  0.4117;  0.5100; -9.9900;  0.0800
2004010614;  103257;  0.4040;  0.4500; -9.9900;  0.0800
2004010615;  101471;  0.3971;  0.2100; -9.9900;  0.0700
2004010616;   99685;  0.3901;  0.2100; -9.9900;  0.0600
2004010617;   97900;  0.3831;  0.2200; -9.9900;  0.0400
2004010618;   96115;  0.3761;  0.1700; -9.9900;  0.0200
2004010619;   94329;  0.3691;  0.1400; -9.9900;  0.0000
2004010620;   92545;  0.3621;  0.0000; -9.9900;  0.0000
2004010621;   90882;  0.3556;  0.0000; -9.9900;  0.0000
2004010622;   89310;  0.3495;  0.0000; -9.9900;  0.0000
2004010623;   87737;  0.3433;  0.0000; -9.9900;  0.0000
2004010700;   86164;  0.3372;  0.0000; -9.9900;  0.0000
2004010701;   84591;  0.3310;  0.0000; -9.9900;  0.0000
2004010702;   82791;  0.3240;  0.0100; -9.9900;  0.0000
2004010703;   80697;  0.3158;  0.0000; -9.9900;  0.0000
2004010704;   78887;  0.3087;  0.0000; -9.9900;  0.0000
2004010705;   77604;  0.3037;  0.0000; -9.9900;  0.0000
2004010706;   76332;  0.2987;  0.0000; -9.9900;  0.0000
2004010707;   75060;  0.2937;  0.0400; -9.9900;  0.0200
2004010708;   73760;  0.2886;  0.0000; -9.9900;  0.0400
2004010709;   72367;  0.2832;  0.0000; -9.9900;  0.0600
2004010710;   70975;  0.2777;  0.0000; -9.9900;  0.0700
2004010711;   69960;  0.2738;  0.0000; -9.9900;  0.0800
2004010712;   69151;  0.2706;  0.0000; -9.9900;  0.0800
2004010713;   68342;  0.2674;  0.0000; -9.9900;  0.0800
2004010714;   67512;  0.2642;  0.0000; -9.9900;  0.0800
2004010715;   66591;  0.2606;  0.0000; -9.9900;  0.0700
2004010716;   65660;  0.2569;  0.0000; -9.9900;  0.0600
2004010717;   64729;  0.2533;  0.0000; -9.9900;  0.0400
2004010718;   63798;  0.2496;  0.0000; -9.9900;  0.0200
2004010719;   62910;  0.2462;  0.0000; -9.9900;  0.0000
2004010720;   62126;  0.2431;  0.0000; -9.9900;  0.0000
2004010721;   61347;  0.2401;  0.0000; -9.9900;  0.0000
2004010722;   60568;  0.2370;  0.0000; -9.9900;  0.0000
2004010723;   59788;  0.2340;  0.0000; -9.9900;  0.0000
2004010800;   59009;  0.2309;  0.0400; -9.9900;  0.0000
2004010801;   58230;  0.2279;  0.0000; -9.9900;  0.0000
2004010802;   57451;  0.2248;  0.0000; -9.9900;  0.0000
2004010803;   56671;  0.2218;  0.0000; -9.9900;  0.0000
2004010804;   55892;  0.2187;  0.0000; -9.9900;  0.0000
2004010805;   55113;  0.2157;  0.0000; -9.9900;  0.0000
2004010806;   54334;  0.2126;  0.0000; -9.9900;  0.0000
2004010807;   53555;  0.2096;  0.0000; -9.9900;  0.0200
2004010808;   52920;  0.2071;  0.0000; -9.9900;  0.0300
2004010809;   52483;  0.2054;  0.0000; -9.9900;  0.0400
2004010810;   52048;  0.2037;  0.0000; -9.9900;  0.0500
2004010811;   51614;  0.2020;  0.0000; -9.9900;  0.0600
2004010812;   51178;  0.2003;  0.0000; -9.9900;  0.0600
2004010813;   50743;  0.1986;  0.0000; -9.9900;  0.0600
2004010814;   50308;  0.1969;  0.0000; -9.9900;  0.0600
2004010815;   49873;  0.1952;  0.0000; -9.9900;  0.0500
2004010816;   49438;  0.1935;  0.0000; -9.9900;  0.0400
2004010817;   49002;  0.1917;  0.0000; -9.9900;  0.0300
2004010818;   48568;  0.1900;  0.0000; -9.9900;  0.0200
2004010819;   48133;  0.1883;  0.0000; -9.9900;  0.0000
2004010820;   47697;  0.1866;  0.0000; -9.9900;  0.0000
2004010821;   47262;  0.1849;  0.0000; -9.9900;  0.0000
2004010822;   46827;  0.1832;  0.0000; -9.9900;  0.0000
2004010823;   46392;  0.1815;  0.0000; -9.9900;  0.0000
2004010900;   45957;  0.1798;  0.0000; -9.9900;  0.0000
2004010901;   45522;  0.1781;  0.0000; -9.9900;  0.0000
2004010902;   45087;  0.1764;  0.0000; -9.9900;  0.0000
2004010903;   44651;  0.1747;  0.0000; -9.9900;  0.0000
2004010904;   44216;  0.1730;  0.0000; -9.9900;  0.0000
2004010905;   43781;  0.1713;  0.0000; -9.9900;  0.0000
2004010906;   43337;  0.1696;  0.0100; -9.9900;  0.0000
2004010907;   42888;  0.1678;  0.0600; -9.9900;  0.0200
2004010908;   42450;  0.1661;  0.0000; -9.9900;  0.0300
2004010909;   42126;  0.1648;  0.0000; -9.9900;  0.0400
2004010910;   41827;  0.1637;  0.0900; -9.9900;  0.0500
2004010911;   41528;  0.1625;  0.1100; -9.9900;  0.0600
2004010912;   41229;  0.1613;  0.0000; -9.9900;  0.0600
2004010913;   40930;  0.1602;  0.0000; -9.9900;  0.0600
2004010914;   40707;  0.1593;  0.0000; -9.9900;  0.0600
2004010915;   40542;  0.1586;  0.0000; -9.9900;  0.0500
2004010916;   40377;  0.1580;  0.0000; -9.9900;  0.0400
2004010917;   40213;  0.1574;  0.0000; -9.9900;  0.0300
2004010918;   40048;  0.1567;  0.0000; -9.9900;  0.0200
2004010919;   39883;  0.1561;  0.0000; -9.9900;  0.0000
2004010920;   39719;  0.1554;  0.0000; -9.9900;  0.0000
2004010921;   39554;  0.1548;  0.0000; -9.9900;  0.0000
2004010922;   39389;  0.1541;  0.0000; -9.9900;  0.0000
2004010923;   39225;  0.1535;  0.0000; -9.9900;  0.0000
2004011000;   39060;  0.1528;  0.0000; -9.9900;  0.0000
2004011001;   38896;  0.1522;  0.0300; -9.9900;  0.0000
2004011002;   38731;  0.1516;  0.0000; -9.9900;  0.0000
2004011003;   38566;  0.1509;  0.0000; -9.9900;  0.0000
2004011004;   38402;  0.1503;  0.0000; -9.9900;  0.0000
2004011005;   38237;  0.1496;  0.0000; -9.9900;  0.0000
2004011006;   38072;  0.1490;  0.0000; -9.9900;  0.0000
2004011007;   37908;  0.1483;  0.0000; -9.9900;  0.0200
2004011008;   37743;  0.1477;  0.0000; -9.9900;  0.0300
2004011009;   37578;  0.1470;  0.0000; -9.9900;  0.0400
2004011010;   37414;  0.1464;  0.0000; -9.9900;  0.0500
2004011011;   37249;  0.1458;  0.0900; -9.9900;  0.0600
2004011012;   37084;  0.1451;  0.0800; -9.9900;  0.0600
2004011013;   36920;  0.1445;  0.0000; -9.9900;  0.0600
2004011014;   36755;  0.1438;  0.0000; -9.9900;  0.0600
2004011015;   36590;  0.1432;  0.0800; -9.9900;  0.0500
2004011016;   36426;  0.1425;  0.0000; -9.9900;  0.0400
2004011017;   36261;  0.1419;  0.0000; -9.9900;  0.0300
2004011018;   36097;  0.1412;  0.0000; -9.9900;  0.0200
2004011019;   35932;  0.1406;  0.0300; -9.9900;  0.0000
2004011020;   35767;  0.1400;  0.0500; -9.9900;  0.0000
2004011021;   35603;  0.1393;  0.4400; -9.9900;  0.0000
2004011022;   35438;  0.1387;  1.0100; -9.9900;  0.0000
2004011023;   35273;  0.1380;  1.5300; -9.9900;  0.0000
2004011100;   35109;  0.1374;  1.6400; -9.9900;  0.0000
2004011101;   34944;  0.1367;  1.8200; -9.9900;  0.0000
2004011102;   34779;  0.1361;  2.6500; -9.9900;  0.0000
2004011103;   34615;  0.1355;  1.8100; -9.9900;  0.0000
2004011104;   34450;  0.1348;  1.0900; -9.9900;  0.0000
2004011105;   34285;  0.1342;  1.5400; -9.9900;  0.0000
2004011106;   34121;  0.1335;  0.7700; -9.9900;  0.0000
2004011107;   33956;  0.1329;  0.3800; -9.9900;  0.0200
2004011108;   33791;  0.1322;  1.5300; -9.9900;  0.0400
2004011109;   33627;  0.1316;  1.0000; -9.9900;  0.0500
2004011110;   33462;  0.1309;  1.0600; -9.9900;  0.0600
2004011111;   33298;  0.1303;  0.8200; -9.9900;  0.0700
2004011112;   33133;  0.1297;  1.6700; -9.9900;  0.0700
2004011113;   32968;  0.1290;  0.6900; -9.9900;  0.0700
2004011114;   32804;  0.1284;  0.4000; -9.9900;  0.0700
2004011115;   32639;  0.1277;  0.0900; -9.9900;  0.0600
2004011116;   32474;  0.1271;  0.1800; -9.9900;  0.0500
2004011117;   32310;  0.1264;  0.0100; -9.9900;  0.0400
2004011118;   32178;  0.1259;  0.1800; -9.9900;  0.0200
2004011119;   32106;  0.1256;  2.6100; -9.9900;  0.0000
2004011120;   32035;  0.1254;  1.4600; -9.9900;  0.0000
2004011121;   31965;  0.1251;  1.2100; -9.9900;  0.0000
2004011122;   31894;  0.1248;  0.5400; -9.9900;  0.0000
2004011123;   31823;  0.1245;  0.4500; -9.9900;  0.0000
2004011200;   31753;  0.1243;  0.2600; -9.9900;  0.0000
2004011201;   31682;  0.1240;  0.0000; -9.9900;  0.0000
2004011202;   31611;  0.1237;  0.0800; -9.9900;  0.0000
2004011203;   31541;  0.1234;  0.1600; -9.9900;  0.0000
2004011204;   31470;  0.1231;  0.0000; -9.9900;  0.0000
2004011205;   31399;  0.1229;  0.0200; -9.9900;  0.0000
2004011206;   31329;  0.1226;  0.0700; -9.9900;  0.0000
2004011207;   31259;  0.1223;  0.0300; -9.9900;  0.0100
2004011208;   31188;  0.1220;  0.0000; -9.9900;  0.0200
2004011209;   31117;  0.1218;  0.0300; -9.9900;  0.0300
2004011210;   31047;  0.1215;  0.0000; -9.9900;  0.0400
2004011211;   30976;  0.1212;  0.0000; -9.9900;  0.0400
2004011212;   30905;  0.1209;  0.0000; -9.9900;  0.0500
2004011213;   30834;  0.1207;  0.0000; -9.9900;  0.0500
2004011214;   30764;  0.1204;  0.0300; -9.9900;  0.0400
2004011215;   30694;  0.1201;  0.0000; -9.9900;  0.0400
2004011216;   30622;  0.1198;  0.0000; -9.9900;  0.0300
2004011217;   30552;  0.1196;  0.0000; -9.9900;  0.0200
2004011218;   30482;  0.1193;  0.0000; -9.9900;  0.0100
2004011219;   30411;  0.1190;  0.0000; -9.9900;  0.0000
2004011220;   30340;  0.1187;  0.0000; -9.9900;  0.0000
2004011221;   30270;  0.1184;  0.0000; -9.9900;  0.0000
2004011222;   30199;  0.1182;  0.0000; -9.9900;  0.0000
2004011223;   30128;  0.1179;  0.0000; -9.9900;  0.0000
2004011300;   30058;  0.1176;  0.0000; -9.9900;  0.0000
2004011301;   30018;  0.1175;  0.0000; -9.9900;  0.0000
2004011302;   30072;  0.1177;  0.0000; -9.9900;  0.0000
2004011303;   30133;  0.1179;  0.0000; -9.9900;  0.0000
2004011304;   30193;  0.1181;  0.0000; -9.9900;  0.0000
2004011305;   30254;  0.1184;  0.0000; -9.9900;  0.0000
2004011306;   30314;  0.1186;  0.0000; -9.9900;  0.0000
2004011307;   30375;  0.1189;  0.0000; -9.9900;  0.0100
2004011308;   30436;  0.1191;  0.0000; -9.9900;  0.0200
2004011309;   30497;  0.1193;  0.0300; -9.9900;  0.0300
2004011310;   30557;  0.1196;  0.0000; -9.9900;  0.0400
2004011311;   30618;  0.1198;  0.0000; -9.9900;  0.0400
2004011312;   30679;  0.1200;  0.0000; -9.9900;  0.0500
2004011313;   30739;  0.1203;  0.0000; -9.9900;  0.0500
2004011314;   30800;  0.1205;  0.0000; -9.9900;  0.0400
2004011315;   30861;  0.1208;  0.0000; -9.9900;  0.0400
2004011316;   31051;  0.1215;  0.0000; -9.9900;  0.0300
2004011317;   31467;  0.1231;  0.0000; -9.9900;  0.0200
2004011318;   31887;  0.1248;  0.0000; -9.9900;  0.0100
2004011319;   32306;  0.1264;  0.0000; -9.9900;  0.0000
2004011320;   32726;  0.1281;  0.0000; -9.9900;  0.0000
2004011321;   33146;  0.1297;  0.0000; -9.9900;  0.0000
2004011322;   33566;  0.1313;  0.0000; -9.9900;  0.0000
2004011323;   33986;  0.1330;  0.0000; -9.9900;  0.0000
2004011400;   34405;  0.1346;  0.0000; -9.9900;  0.0000
2004011401;   34828;  0.1363;  0.4800; -9.9900;  0.0000
2004011402;   35772;  0.1400;  1.6400; -9.9900;  0.0000
2004011403;   37095;  0.1452;  1.5400; -9.9900;  0.0000
2004011404;   38418;  0.1503;  1.7900; -9.9900;  0.0000
2004011405;   39742;  0.1555;  1.2000; -9.9900;  0.0000
2004011406;   41249;  0.1614;  2.7200; -9.9900;  0.0000
2004011407;   43292;  0.1694;  3.6200; -9.9900;  0.0200
2004011408;   45968;  0.1799;  3.3000; -9.9900;  0.0300
2004011409;   49326;  0.1930;  3.0000; -9.9900;  0.0400
2004011410;   52813;  0.2067;  3.5700; -9.9900;  0.0500
2004011411;   58136;  0.2275;  2.5800; -9.9900;  0.0600
2004011412;   64058;  0.2507;  1.4700; -9.9900;  0.0600
2004011413;   70489;  0.2758;  2.2400; -9.9900;  0.0600
2004011414;   78161;  0.3058;  4.4900; -9.9900;  0.0600
2004011415;   90671;  0.3548;  2.1400; -9.9900;  0.0500
2004011416;  110763;  0.4334;  0.7600; -9.9900;  0.0400
2004011417;  109318;  0.4278;  0.5300; -9.9900;  0.0300
2004011418;  143468;  0.5614;  0.1500; -9.9900;  0.0200
2004011419;  125817;  0.4923;  0.0200; -9.9900;  0.0000
2004011420;  122433;  0.4791;  0.0000; -9.9900;  0.0000
2004011421;  110963;  0.4342;  0.0200; -9.9900;  0.0000
2004011422;   97466;  0.3814;  0.0000; -9.9900;  0.0000
2004011423;   93949;  0.3676;  0.0000; -9.9900;  0.0000
2004011500;   90433;  0.3539;  0.0500; -9.9900;  0.0000
2004011501;   86916;  0.3401;  0.0000; -9.9900;  0.0000
2004011502;   83399;  0.3263;  0.0000; -9.9900;  0.0000
2004011503;   79882;  0.3126;  0.0500; -9.9900;  0.0000
2004011504;   76366;  0.2988;  0.0000; -9.9900;  0.0000
2004011505;   72850;  0.2851;  0.0000; -9.9900;  0.0000
2004011506;   69333;  0.2713;  0.0600; -9.9900;  0.0000
2004011507;   65816;  0.2575;  0.0000; -9.9900;  0.0200
2004011508;   62300;  0.2438;  0.0000; -9.9900;  0.0300
2004011509;   58943;  0.2306;  0.0000; -9.9900;  0.0400
2004011510;   56428;  0.2208;  0.0000; -9.9900;  0.0500
2004011511;   54036;  0.2114;  0.0000; -9.9900;  0.0600
2004011512;   52304;  0.2047;  0.0000; -9.9900;  0.0600
2004011513;   51278;  0.2007;  0.0000; -9.9900;  0.0600
2004011514;   50252;  0.1966;  0.0000; -9.9900;  0.0600
2004011515;   49226;  0.1926;  0.1800; -9.9900;  0.0500
2004011516;   48539;  0.1899;  0.1400; -9.9900;  0.0400
2004011517;   48159;  0.1884;  0.4600; -9.9900;  0.0300
2004011518;   47443;  0.1856;  0.2600; -9.9900;  0.0200
2004011519;   46929;  0.1836;  0.8300; -9.9900;  0.0000
2004011520;   46414;  0.1816;  1.0000; -9.9900;  0.0000
2004011521;   45900;  0.1796;  0.6400; -9.9900;  0.0000
2004011522;   45386;  0.1776;  1.3600; -9.9900;  0.0000
2004011523;   44871;  0.1756;  0.7100; -9.9900;  0.0000
2004011600;   44357;  0.1736;  0.6000; -9.9900;  0.0000
2004011601;   43843;  0.1716;  0.9600; -9.9900;  0.0000
2004011602;   43702;  0.1710;  5.4800; -9.9900;  0.0000
2004011603;   44068;  0.1724;  1.3000; -9.9900;  0.0000
2004011604;   43666;  0.1709;  0.0600; -9.9900;  0.0000
2004011605;   43174;  0.1689;  0.0000; -9.9900;  0.0000
2004011606;   42681;  0.1670;  0.0000; -9.9900;  0.0000
2004011607;   42189;  0.1651;  0.0000; -9.9900;  0.0200
2004011608;   41696;  0.1632;  0.0000; -9.9900;  0.0300
2004011609;   41203;  0.1612;  0.0000; -9.9900;  0.0400
2004011610;   40711;  0.1593;  0.1100; -9.9900;  0.0500
2004011611;   40218;  0.1574;  0.1900; -9.9900;  0.0600
2004011612;   39726;  0.1554;  0.0800; -9.9900;  0.0600
2004011613;   39233;  0.1535;  0.0500; -9.9900;  0.0600
2004011614;   38740;  0.1516;  0.1200; -9.9900;  0.0600
2004011615;   38248;  0.1497;  0.1700; -9.9900;  0.0500
2004011616;   37755;  0.1477;  0.0700; -9.9900;  0.0400
2004011617;   37263;  0.1458;  0.0700; -9.9900;  0.0300
2004011618;   36770;  0.1439;  0.0500; -9.9900;  0.0200
2004011619;   36278;  0.1420;  0.0300; -9.9900;  0.0000
2004011620;   35785;  0.1400;  0.0000; -9.9900;  0.0000
2004011621;   35292;  0.1381;  0.0200; -9.9900;  0.0000
2004011622;   34834;  0.1363;  0.6900; -9.9900;  0.0000
2004011623;   34577;  0.1353;  0.0900; -9.9900;  0.0000
2004011700;   34354;  0.1344;  0.2200; -9.9900;  0.0000
2004011701;   34131;  0.1336;  0.0700; -9.9900;  0.0000
2004011702;   33908;  0.1327;  0.0300; -9.9900;  0.0000
2004011703;   33685;  0.1318;  0.0500; -9.9900;  0.0000
2004011704;   33462;  0.1309;  0.0000; -9.9900;  0.0000
2004011705;   33239;  0.1301;  0.0000; -9.9900;  0.0000
2004011706;   33016;  0.1292;  0.0000; -9.9900;  0.0000
2004011707;   32793;  0.1283;  0.0000; -9.9900;  0.0200
2004011708;   32564;  0.1274;  0.0000; -9.9900;  0.0400
2004011709;   32331;  0.1265;  0.0800; -9.9900;  0.0500
2004011710;   32099;  0.1256;  0.0900; -9.9900;  0.0600
2004011711;   31866;  0.1247;  0.0000; -9.9900;  0.0700
2004011712;   31633;  0.1238;  0.0000; -9.9900;  0.0700
2004011713;   31400;  0.1229;  0.0000; -9.9900;  0.0700
2004011714;   31167;  0.1220;  0.0000; -9.9900;  0.0700
2004011715;   30934;  0.1210;  0.0000; -9.9900;  0.0600
2004011716;   30702;  0.1201;  0.0000; -9.9900;  0.0500
2004011717;   30469;  0.1192;  0.0000; -9.9900;  0.0400
2004011718;   30236;  0.1183;  0.0000; -9.9900;  0.0200
2004011719;   30118;  0.1179;  0.5800; -9.9900;  0.0000
2004011720;   30157;  0.1180;  1.2500; -9.9900;  0.0000
2004011721;   30179;  0.1181;  0.6400; -9.9900;  0.0000
2004011722;   30052;  0.1176;  0.0000; -9.9900;  0.0000
2004011723;   29891;  0.1170;  0.0000; -9.9900;  0.0000
2004011800;   29730;  0.1163;  0.0000; -9.9900;  0.0000
2004011801;   29569;  0.1157;  0.0000; -9.9900;  0.0000
2004011802;   29408;  0.1151;  0.0100; -9.9900;  0.0000
2004011803;   29247;  0.1144;  0.0300; -9.9900;  0.0000
2004011804;   29085;  0.1138;  0.0100; -9.9900;  0.0000
2004011805;   28924;  0.1132;  0.0000; -9.9900;  0.0000
2004011806;   28763;  0.1126;  0.0200; -9.9900;  0.0000
